Continent,Entity,Female,Males,Population (historical estimates)
South America,Venezuela,4.911807,2.9929447,30529722
South America,Uruguay,7.079497,3.1847079,3402820
South America,Suriname,5.1859355,3.1487284,575478
South America,South Georgia and the South Sandwich Islands,5.322796,3.145213,45564
South America,Peru,6.9638624,4.1078486,30711864
South America,Paraguay,8.147048,4.3024836,6177954
South America,Guyana,5.484332,3.270582,755043
South America,French Guiana,5.654443,3.44333,257033
South America,Falkland Islands,5.422323,2.453553,3431
South America,Ecuador,6.5307236,3.8092573,16195904
South America,Colombia,4.8140745,3.2805057,47119728
South America,Chile,8.019641,2.9685638,17870122
South America,Brazil,9.550944,5.3070836,205188208
South America,Bolivia,7.2132926,4.0314918,11090090
South America,Argentina,6.3022237,3.603543,43257064
Oceania,Wallis and Futuna,3.554333,4.233244,12208
Oceania,Vanuatu,5.008308,2.8274803,276450
Oceania,United States Minor Outlying Islands,6.422334,4.232445,5544
Oceania,Tuvalu,5.016632,3.0522885,10896
Oceania,Tonga,5.016632,2.883885,106140
Oceania,Tokelau,5.015001,2.9202175,1480
Oceania,Solomon Islands,5.0161996,2.7555106,612670
Oceania,Samoa,5.024495,2.970836,203586
Oceania,Pitcairn,4.234224,2.3442456,4554
Oceania,Papua New Guinea,4.9854903,2.8269482,8682172
Oceania,Palau,5.0051303,3.2394657,17822
Oceania,Northern Mariana Islands,5.015275,3.2806604,51538
Oceania,Norfolk Island,5.0865478,3.8543632,1345
Oceania,Niue,4.974513,3.1372173,1871
Oceania,New Zealand,9.26813,5.2012005,4590591
Oceania,New Caledonia,3.56563,4.34555,283041
Oceania,Nauru,5.008308,2.8162203,11207
Oceania,Micronesia (country),5.014199,3.0192664,109477
Oceania,Marshall Islands,5.0140624,2.946257,49426
Oceania,Kiribati,5.0126376,2.8654547,116717
Oceania,Guam,5.005498,3.0938187,167996
Oceania,French Polynesia,4.2345,2.975674,291796
Oceania,Fiji,5.014127,3.025613,917209
Oceania,Cook Islands,5.010277,3.1326241,17720
Oceania,Australia,7.1189656,3.9923446,23820240
Oceania,American Samoa,5.003314,3.0259707,51391
North America,United States Virgin Islands,5.4000726,3.4296224,102808
North America,United States,6.515299,4.0532036,324607776
North America,Turks and Caicos Islands,5.851866,3.8331847,36556
North America,Trinidad and Tobago,4.8249645,3.1157959,1460180
North America,Sint Maarten (Dutch part),4.5643167,2.938519,40228
North America,Saint Vincent and the Grenadines,5.3926644,3.372057,106493
North America,Saint Pierre and Miquelon,5.0316997,3.0632339,6001
North America,Saint Martin (French part),4.498323,2.7853687,35042
North America,Saint Lucia,5.383575,3.4614897,175638
North America,Saint Kitts and Nevis,5.406847,3.4481177,47814
North America,Saint Barthelemy,5.421805,3.4724135,9668
North America,Puerto Rico,5.5134144,3.5667484,3497335
North America,Panama,4.525067,2.7465496,3957102
North America,Nicaragua,5.3970256,3.1452048,6298610
North America,Netherlands Antilles,3.892276,2.4837592,2334
North America,Montserrat,4.0117292,2.6399329,5083
North America,Mexico,4.4716625,2.5054884,120149896
North America,Martinique,5.426344,3.441545,383523
North America,Jamaica,5.0855064,3.156406,2794455
North America,Honduras,5.0333323,2.8720183,9294510
North America,Haiti,5.7070794,3.133919,10563762
North America,Guatemala,5.248383,2.991449,16001105
North America,Guadeloupe,4.050668,3.041947,399094
North America,Grenada,5.3992095,3.3988843,118994
North America,Greenland,6.1872244,3.9615512,55916
North America,El Salvador,5.399978,3.193511,6231072
North America,Dominican Republic,5.651255,3.3344269,10405832
North America,Dominica,5.4111056,3.393009,70027
North America,Curacao,5.2448,3.0960329,169588
North America,Cuba,5.333302,3.4927187,11339888
North America,Costa Rica,5.189882,3.217725,4895241
North America,Cayman Islands,5.423864,3.598997,60935
North America,Canada,5.41643,3.5014873,35732120
North America,British Virgin Islands,5.8187785,3.1145768,29394
North America,Bonaire Sint Eustatius and Saba,4.293992,2.5664082,23193
North America,Bermuda,5.391219,3.5867712,63165
North America,Belize,5.207131,3.0309303,359884
North America,Barbados,5.39578,3.470495,278095
North America,Bahamas,5.3779187,3.3857832,392707
North America,Aruba,5.3912344,3.4687572,104269
North America,Antigua and Barbuda,5.3992095,3.426314,89958
Europe,United Kingdom,5.541973,3.5738466,65224368
Europe,Ukraine,3.8210218,2.5525918,44982568
Europe,Switzerland,8.821378,5.1452394,8281735
Europe,Sweden,6.1671276,3.6573677,9849344
Europe,Svalbard and Jan Mayen,,,2400
Europe,Spain,7.946036,2.8167388,46431344
Europe,Slovenia,4.346571,2.7093585,2080865
Europe,Slovakia,4.3844304,2.7132242,5424449
Europe,Serbia,4.291933,2.6407578,7519501
Europe,San Marino,7.06138,4.1105614,33593
Europe,Russia,3.8562813,2.5159507,144668384
Europe,Romania,4.1868505,2.6166155,19906078
